complex_id,complex_nm,trains,station_ct,bcode,stop_lat,stop_lon,tot2007,tot2008,tot2009,tot2010,tot2011,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,tot2019,avwkdy07,avwkdy08,avwkdy09,avwkdy10,avwkdy11,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,avwkdy19,avwken07,avwken08,avwken09,avwken10,avwken11,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18,avwken19,srv_notes
bx001,138 St-Grand Concourse,4 5,1,36005,40.813224,-73.929849,800595,864369,887662,898509,917911,939284,957984,1033559,1056380,1070024,1036746,944598,1035878,2720,2926,2969,3013,3076,3183,3222,3416,3480,3532,3486,3166,3324,2001,2155,2429,2450,2526,2648,2540,3017,3136,3123,2793,2557,3537,x
bx002,149 St-Grand Concourse,2 4 5,2,36005,40.818375,-73.927351,3112547,3454530,3660150,3979328,4169699,4104847,4427399,4536888,4424754,4381900,4255015,3972763,3931908,10384,11395,12056,12744,13422,13599,14380,14576,14465,14460,14063,13081,12960,8690,10039,10926,13577,14022,13024,14202,15326,13683,12797,12623,11873,11647,
bx003,161 St-Yankee Stadium,B D 4,2,36005,40.827905,-73.925651,7836990,8576546,8410256,8434247,8605893,8831015,8766012,8961029,8922188,8784407,8596506,8392290,8254928,24258,26511,26061,26159,26631,27604,26972,27541,27020,26947,26674,26034,25642,30300,33035,31919,32363,34258,35820,35071,36176,36969,35171,33398,32173,31627,
bx004,167 St,4,1,36005,40.835537,-73.9214,2715327,2876058,2892398,2931947,2978748,3039634,3081534,3067345,3180274,3179087,2954228,2933140,2653237,8564,9125,9054,9220,9351,9699,9904,9793,9923,9972,9466,9398,8486,9789,9903,10694,10696,11089,11188,10176,10417,11942,11579,9981,9822,8986,
bx005,167 St,B D,1,36005,40.833771,-73.91844,2834640,2920517,2874428,2907900,2952368,2972535,3091289,3245977,3295032,3365748,3293451,2022919,2734530,8747,8913,8848,8839,9054,9264,9374,9906,10166,10439,10223,6342,8542,11114,11722,11305,11997,11956,11924,12887,13220,12890,12775,12682,7529,10299,x
bx006,170 St,4,1,36005,40.840075,-73.917791,2523549,2735272,2831174,2950997,2954573,2980786,2961575,2941958,3045205,3038777,2785331,2562443,2487611,7958,8661,8848,9234,9259,9518,9525,9403,9507,9514,8910,8140,7926,9102,9508,10550,10987,11081,10952,9768,9960,11398,11161,9482,8936,8584,
bx007,170 St,B D,1,36005,40.839306,-73.9134,2019834,2092449,2014364,1940700,1988409,2032837,2174082,2297459,2286670,2317558,2270027,2454974,2130461,6273,6421,6255,6054,6155,6303,6563,6988,7101,7225,7089,7913,6767,7739,8256,7671,7263,7788,8324,9216,9490,8737,8633,8558,8037,7420,
bx008,174 St,2 5,1,36005,40.837288,-73.887734,2047981,2159617,2127174,2239254,2161875,2152009,2301756,2374812,2313651,2411413,2334317,2056692,2057118,6514,6876,6801,7227,7049,7018,7339,7599,7619,7690,7466,6751,6644,7138,7341,7187,7353,6817,7210,7907,8003,6797,8183,7974,6141,6671,
bx009,174-175 Sts,B D,1,36005,40.8459,-73.910136,1490168,1557954,1475159,1451367,1492092,1496869,1598189,1719504,1695879,1752387,1735321,1005075,1518260,4669,4822,4603,4537,4660,4706,4885,5301,5312,5519,5475,3221,4869,5516,5944,5508,5403,5651,5833,6499,6777,6271,6280,6298,3404,5107,x
bx010,176 St,4,1,36005,40.84848,-73.911794,1454231,1604117,1378480,1445219,1720629,1764100,1837995,1848854,1969221,2036529,1943854,1803691,1713696,4606,5105,4312,4517,5383,5623,5905,5914,6160,6378,6232,5807,5518,5136,5441,5106,5379,6484,6508,6067,6217,7318,7459,6549,5937,5637,
bx011,182-183 Sts,B D,1,36005,40.856093,-73.900741,1592710,1561529,1506398,1495831,1489026,1447028,1520856,1604218,1643266,1682092,1577144,1502814,1513443,4898,4747,4612,4550,4546,4507,4554,4813,5020,5177,4990,4752,4773,6323,6363,6049,6158,6135,5807,6617,6939,6660,6574,5623,5347,5438,
bx012,183 St,4,1,36005,40.858407,-73.903879,1073820,1864350,1913656,1945021,1978737,1997038,2002633,2007140,2057944,2071316,2001410,1831457,1779224,3371,5890,5954,6071,6162,6319,6360,6356,6372,6443,6271,5754,5641,3905,6531,7231,7281,7591,7588,6967,7056,7944,7786,7426,6696,6260,x
bx013,219 St,2 5,1,36005,40.883895,-73.862633,854553,926893,957529,1024424,1032343,1063058,1099491,1124522,1108859,1049128,1044200,1026894,979390,2727,2982,3049,3261,3337,3413,3483,3544,3529,3423,3439,3335,3232,2937,2992,3288,3545,3367,3827,3889,4056,3837,3200,3091,3248,2841,
bx014,225 St,2 5,1,36005,40.888022,-73.860341,1095409,1173697,1191808,1283398,1336790,1382626,1400377,1445591,1439495,1365544,1323910,1224369,1187486,3493,3798,3841,4104,4346,4469,4479,4593,4591,4408,4340,3961,3898,3767,3688,3883,4359,4246,4838,4754,5043,4935,4403,4003,3936,3539,
bx015,231 St,1,1,36005,40.878856,-73.904834,2531151,2752351,2669185,2660882,2731068,2829503,2757855,2912283,2966015,3013521,3013031,3133231,2919305,8095,8670,8428,8680,9170,9187,8951,9372,9596,9749,9774,10287,9658,8599,9821,9519,8160,7274,9704,8676,9568,9480,9561,9760,9499,8337,
bx016,233 St,2 5,1,36005,40.893193,-73.857473,1375404,1485276,1508683,1614436,1655372,1674406,1719181,1803693,1762923,1688487,1565455,1496673,1445532,4437,4834,4870,5179,5379,5388,5473,5701,5632,5438,5138,4864,4768,4503,4549,4886,5416,5277,5971,5956,6434,6007,5501,4707,4720,4202,
bx017,238 St,1,1,36005,40.884667,-73.90087,1097387,1164038,1094292,1067352,902601,1106353,1092492,1209623,1240616,1327862,1335877,960970,1204095,3551,3681,3492,3514,3019,3612,3598,3934,4068,4350,4370,3225,3998,3545,4095,3743,3134,2477,3716,3199,3801,3719,3977,4174,2578,3411,x
bx018,3 Av-138 St,6,1,36005,40.810476,-73.926138,2023274,2159647,2222695,2190627,2280268,2304717,2443326,2534036,2531974,2509085,2515479,2451972,2503850,6447,6878,6894,6985,7238,7326,7667,7951,7994,8008,8114,7801,8100,7020,7362,8621,7575,8134,8670,9026,9364,9113,8543,8331,8591,8110,
bx019,3 Av-149 St,2 5,1,36005,40.816109,-73.917757,7095262,7393330,7411343,7239167,7232070,7525904,7310115,7763151,7363663,7609968,7458222,6784053,6768255,22824,23859,24096,23955,24022,24580,24001,25161,24813,24808,24228,22357,22167,23628,23744,23330,21053,20811,25356,21890,24819,19003,23393,23901,19975,20597,
bx020,Allerton Av,2 5,1,36005,40.865462,-73.867352,1574252,1625023,1661132,1668896,1602390,1689145,1747352,1829712,1821628,1733740,1678247,1603702,1614464,4958,5179,5258,5282,5193,5389,5526,5737,5779,5530,5403,5144,5161,5718,5491,5865,5932,5164,6242,6231,6741,6388,5889,5559,5379,5491,
bx021,Baychester Av,5,1,36005,40.878663,-73.838591,1112821,1168224,1045547,1087618,1106959,1161075,1234050,1186372,1137693,1112259,1054373,1006343,1094872,3743,3924,3634,3706,3840,3980,4177,4196,4090,4064,3846,3551,3789,2931,3022,2148,2630,2368,3032,3111,2132,1683,1343,1402,1840,2368,
bx022,Bedford Park Blvd,B D,1,36005,40.873244,-73.887138,1928566,1989894,1932709,1885231,1914096,1929623,2040887,2136860,2196065,2240256,2220298,1984267,2143375,6214,6317,6054,6037,6150,6183,6303,6645,7046,7236,7066,6419,6911,6373,6911,7226,6417,6478,7039,8072,8213,7377,7234,7819,6428,7060,
bx023,Bedford Park Blvd-Lehman College,4,1,36005,40.873412,-73.890064,1614531,1719816,1735029,1786305,1835965,1796392,1853706,1827260,1863892,1812036,1716853,1575555,1538253,5359,5519,5701,5897,6052,6034,6201,6089,6040,5912,5649,5170,5066,4594,5753,5252,5333,5545,5303,5062,5093,6026,5618,5200,4793,4588,
bx024,Bronx Park East,2 5,1,36005,40.848828,-73.868457,856682,880102,865492,888162,826356,860554,914831,933109,877311,841547,799927,752916,769303,2768,2897,2834,2888,2757,2811,2959,3005,2868,2785,2676,2498,2526,2785,2547,2611,2807,2285,2880,2953,3063,2679,2391,2184,2139,2304,
bx025,Brook Av,6,1,36005,40.807566,-73.91924,1825026,1915123,1800008,1902909,1950893,1901192,1970010,2002825,1981721,1964831,1938814,1895570,1823468,5618,5877,5790,5874,6073,6113,6186,6312,6244,6226,6118,6040,5917,7221,7542,5844,7437,7487,6742,7191,7198,7126,6850,7009,6536,5755,
bx026,Buhre Av,6,1,36005,40.84681,-73.832569,824727,888854,883232,895193,991171,1008640,1111659,637600,661527,1048776,1094122,1110307,1146032,2795,2975,2980,3011,3315,3418,3718,2155,2237,3568,3701,3744,3898,2086,2360,2267,2364,2742,2837,3038,1614,1672,2540,2837,2897,2832,x
bx027,Burke Av,2 5,1,36005,40.871356,-73.867164,1019924,1047965,1047238,1060008,1036169,1086792,1133298,1158787,1139826,1099582,1064119,997617,1000896,3252,3380,3367,3392,3387,3491,3612,3672,3644,3550,3466,3234,3250,3517,3346,3445,3589,3195,3900,3902,4090,3866,3531,3330,3182,3171,
bx028,Burnside Av,4,1,36005,40.853453,-73.907684,3182286,3241959,3408080,3533604,3528312,3508076,3560191,3558297,3641720,3617308,3442348,3198218,3113514,10135,10433,10909,11232,11243,11387,11560,11538,11551,11479,11079,10231,9964,11075,10520,11542,12466,12390,12070,11259,11310,12829,12611,11472,10885,10571,
bx029,Castle Hill Av,6,1,36005,40.834255,-73.851222,2021224,2155897,2036025,2345255,2341370,2327404,1756879,1491030,2174412,2100194,2071819,2000084,1954511,6660,6969,6708,7617,7540,7567,5632,4938,7174,6895,6756,6483,6435,5989,6870,5944,7463,7832,7956,5918,4238,6317,6217,6487,6411,5809,x
